Title,ISBN,Price,Author,Publisher,Publication time,Place of Publication,Pages,Classification Number,总借入,总续借,总借入和续借量,平均借阅时间(天),Classification
physics for the IB diploma exam preparation guide,9781107495753,260.0,K.Asokos,Cambridge University Pre,2016      ,New York,271p.     ,IB-4-PH-5,0,0,0,,Science
“文学爆炸”亲历记,9787020164462,36.0,(智)多诺索著,人民文学出版社,2021,北京,"10,172页",I784.55,1,0,1,13.93,Literature
“错误”的行为,9787508684512,69.0,(美)塞勒著,中信出版集团股份有限公司, 2018,北京 ,"31,417页 ",F069.9-49,2,0,2,42.99,Social Sciences
一个人暖呼呼,9787550289215,49.9,（日）高木直子著,北京联合出版公司,2016,北京,173页,J238.2,1,1,2,57.85,Arts
一个人的美食跑跑跑,9787535666031,45.0,(日)高木直子编,湖南美术出版社,2013（2018重印）,长沙,169页,J238.2,1,0,1,,Arts
一个女人的故事,9787208178311,38.0,"(法)埃尔诺 (Ernaux, Anne 1940~) 著",上海人民出版社,2022,上海,79页,I565.45,1,0,1,7.08,Literature
一句顶一万句,9787536097261,68.0,刘震云 著,花城出版社,2022,广州,620页；彩照,I247.5,1,0,1,64.64,Literature
一战史 ,9787301297995,98.0,"(英)基根 (Keegan, John 1934~2012) 著", 北京大学出版社, 2018,北京 ,429页 : 图，照片 ,K143,1,1,2,73.03,Social Sciences
一本小小的逻辑书,9787522903019,55.0,杨波著,中国纺织出版社有限公司,2023,北京,208页,B81-49,0,0,0,,General / Misc
一桩事先张扬的凶杀案,9787544292467,39.5,(哥伦)马尔克斯著,南海出版公司,2018.8,,140,I775.45,1,0,1,5.97,Literature
三四郎,9787532773725,59.0,（日）夏目漱石著,上海译文出版社,2017,上海,261页,I313.45,1,0,1,,Literature
不会吧，真有人研究这个 ,9787559646224,60.0,(法)克罗著, 北京联合出版公司, 2021,北京 ,"11,240页 ",Z228,0,0,0,,General / Misc
不能承受的生命之轻,9787532766635,88.0,昆德拉著,上海译文出版社,2014.08   ,上海,427页     ,I565.45,2,0,2,133.09,Literature
与社会学同游 ,9787301247099,33.0,(美)伯格著, 北京大学出版社, 2014,北京 ,"27,241页 : 照片 ",C91,1,0,1,,General / Misc
东京百景,9787532782925,58.0,（日）又吉直树著,上海译文出版社有限公司,2020,上海,274页,I313.65,1,0,1,,Literature
东方快车谋杀案,9787513335270,49.0,(英)克里斯蒂,新星出版社,2019,北京,279页,I561.45,2,0,2,23.45,Literature
中国古典名著百部·传世方术卷：阴符经 握奇经 皇帝宅经 龟策列传 灵棋经 诸葛神薮 推背图 奇门遁甲 梅花易,9787512006881,198.0,马松源编,线装书局,2012.12   ,北京,442页     ,Z121.7,1,0,1,,General / Misc
中国哲学简史,9787301215692,49.0,冯友兰著,北京大学出版社,2013.05   ,北京,325页     ,B2,1,0,1,0.01,General / Misc
乌合之众,9787532781089,35.0,(法)勒庞著,上海译文出版社有限公司,2019,上海,"16,202页",C912.64,1,0,1,,General / Misc
九三年 ,9787505729117,68.0,"(法)雨果 (Hugo, Victor 1802~1885) 著", 中国友谊出版公司, 2012,北京 ,407页 ,I565.44,1,0,1,60.88,Literature
云雀叫了一整天 ,9787542668974,66.0,木心 (1927-2011) 著, 上海三联书店, 2020,上海 ,245页 : 照片 ,I227,0,0,0,,Literature
人世的真相,9787569520767,69.0,（英）毛姆著,陕西师范大学出版总社,2021,西安,316页,I561.45,1,0,1,24.42,Literature
人力资源规划操作指南：规划概述+实用图表+流程架构+操作方案,9787115565648,79.0,乔继玉主编,人民邮电出版社,2021,北京,268,F243,1,0,1,9.99,Social Sciences
人工智能基础实验教程,9787113293208,49.8,潘理虎著,中国铁道出版社有限公司,2022,北京,305页,TP18-33,1,1,2,69.66,Science
人性的枷锁 ,9787210082903,68.0,"(英)毛姆 (Maugham, William Somerset 1874~1965) 著", 江西人民出版社, 2016,南昌 ,"10,645页 ",I561.45,1,0,1,13.14,Literature
从“童怀周”到审江青,9787515304717,31.0,汪文风著,中国青年出版社,2012,北京,236页,D652,1,1,2,73.01,Social Sciences
从俾斯麦到希特勒,9787544758765,42.0,（德）哈夫纳著,译林出版社,2016,南京,252页,K516.42,1,0,1,28.78,Social Sciences
从夸克到宇宙 ,9787559656599,128.0,(美)林肯著,北京联合出版公司,2022,北京,566页,O572.2-49,2,0,2,22.37,Science
优势谈判心理学,9787540266509,38.0,张维维著,北京燕山出版社有限公司 ,2023,北京,210,C912.3-49,0,0,0,,General / Misc
伦理学 ,9787108050519,28.0,"(英)罗宾逊 (Robinson, Dave) 文", 生活·读书·新知三联书店, 2016,北京 ,178页 : 图 ,B82,1,0,1,21.62,General / Misc
低欲望社会,9787532779529,58.0,（日）大前研一著,上海译文出版社有限公司,2018,上海,237页,C924.313,1,0,1,,General / Misc
佛系,9787559414311,39.8,(日)草薙龙瞬著,江苏凤凰文艺出版社,2018.03   ,南京,277页     ,I313.65,1,0,1,38.83,Literature
你喜欢莫扎特吗,9787559472397,78.0,留声机著,江苏凤凰文艺出版社,2023,南京,285页,J605.52,0,0,0,,Arts
佩德罗·巴拉莫,9787544784269,48.0,"(墨)胡安·鲁尔福(Rulfo, Juan)",译林出版社 ,2021,南京 ,191页 ,I731.45,0,0,0,,Literature
倾城之恋,9787530218624,49.5,张爱玲著,北京十月文艺出版社,2019,北京,328 ,I246.7,1,0,1,129.93,Literature
做哲学,9787559617293,118.0,"(美)小西奥多·希克,刘易斯·沃恩著",北京联合出版社,2018.04   ,北京,648页     ,B0,1,0,1,,General / Misc
克里姆特：变形的真实,9787559637222,98.0,(法)西尔维·吉拉尔-拉戈斯 著, 北京联合出版公司, 2019,北京 ,112页 ,J205.521,1,0,1,8.26,Arts
刀锋,9787547744581,76.0,(英)毛姆著,北京日报出版社,2023,北京,472页,I561.45,2,0,2,85.84,Literature
制造东京,9787521733266,79.0,(日)藤森照信 (1946~) 著,中信出版社,2021,北京,385页 : 图版,TU-093.131,2,0,2,1.87,Science
制造宠物,9787545219531,78.0,（美）段义孚著,上海光启书局有限公司,2022,上海,"10,300页",S865.3-091,1,1,2,71.0,General / Misc
剑桥艺术史·上,9787544792028,249.0,(美)伍德福德著,译林出版社,2023,南京,2册(499;436页),J110.9,1,0,1,17.99,Arts
剪辑的语法 :插图修订第2版,9787550297746,45.0,（英）罗伊·汤普森著 ,北京联合出版公司 ,2017.3,北京 ,"10,193页 ",J932,2,0,2,74.1,Arts
动物凶猛,9787530213636,35.0,王朔著,北京十月文艺出版社,2015.03   ,北京,302页     ,I247.5,1,0,1,,Literature
助推：如何做出有关健康、财富与幸福的最佳决策,9787508684918,59.0,"(美)泰勒 (Thaler, Richard H. 1945~) 著", 中信出版集团股份有限公司, 2018,北京 ,"23,330页 : 图 ",F0-49,2,0,2,42.99,Social Sciences
北宋名家词选讲 ,9787301114926,68.0,(加)叶嘉莹 (女， 1924.6~) 著, 北京大学出版社, 2007,北京 ,383页 ,I207.23,1,0,1,56.0,Literature
博弈与社会,9787301218211,68.0,张维迎著,北京大学出版社,2013,北京,,F224.32,2,0,2,52.48,Social Sciences
厌女,9787545219753,66.0,（日）上野千鹤子著,上海光启书局有限公司,2023,上海,317页,G131.3,1,0,1,,General / Misc
厌女简史 ：世界上最古老的偏见,9787559676016,68.0,（爱尔兰）杰克.霍兰 著,北京联合出版公司 ,2024,北京 ,350页 ,C913.68,2,1,3,48.96,General / Misc
双城记,9787516824689,49.8,（英）狄更斯著, 台海出版社 ,2020,北京,277页,I561.44,0,0,0,,Literature
反抗者,9787532777280,58.0,(法)加缪著　沈志明译,上海译文出版社有限公司,2018,上海,425,I565.65,1,0,1,,Literature
发现本草之旅. 壹 ,9787506791489,49.0,丁兆平 (196?~) 著, 中国医药科技出版社, 2017,北京 ,"10,377页 : 彩图 ",R282.7,0,0,0,,General / Misc
受戒,9787530211458,36.0,汪曾祺著,北京十月文艺出版社,2012,北京,,I247.7,2,0,2,0.0,Literature
