Title,ISBN,Price,Author,Publisher,Publication time,Place of Publication,Pages,Classification Number,总借入,总续借,总借入和续借量,平均借阅时间(天),Classification
山海变.2绾青丝,9787020169276.0,58.0,八月槎,人民文学出版社,2022,北京,285页,I247.5,2,1,3,26.28,Literature
山海变.3星野乱,9787020169290.0,58.0,八月槎,人民文学出版社,2022,北京,291页,I247.5,2,1,3,29.32,Literature
山海变.4奔掠火,9787020166732.0,58.0,八月槎,人民文学出版社,2022,北京,294页,I247.5,2,1,3,22.2,Literature
山海变.5旧时雨,9787020166718.0,58.0,八月槎,人民文学出版社,2022,北京,297页,I247.5,2,1,3,21.66,Literature
山海变.6水云乡,9787020166725.0,58.0,八月槎,人民文学出版社,2022,北京,297页,I247.5,2,1,3,22.16,Literature
山茶文具店,9787540485337.0,49.8,(日)小川系著;王蕴洁译,湖南文艺出版社,2018.03   ,长沙,315页     ,I313.45,1,0,1,24.0,Literature
山音,9787544265027.0,49.0,(日)川端康成 (1899~1972) 著,南海出版公司,2013,海口,259页,I313.45,1,1,2,,Literature
峰会:影响2世纪的六场元首会谈,9787508681832.0,78.0,雷诺慈著;马俊译,中信出版社,2018.04   ,北京,576页     ,K150.5,1,0,1,,Social Sciences
崔健诗歌集,9787509016565.0,79.0,崔健著,当代世界出版社,2022,北京,"23,185页",I227,1,0,1,2.86,Literature
崩溃 -社会如何选择成败兴亡,9787532755127.0,68.0,"(美)戴蒙德 (Diamond, Jared) 著", 上海译文出版社, 2011,上海 ,"25,659页 : 图，照片 ",K02,0,0,0,,Social Sciences
巨人的文明,9787111595816.0,69.0,陈文捷著, 机械工业出版社, 2018,北京 ,288页 : 图，地图 ,TU-095.46,1,1,2,91.87,Science
巨人的陨落I,9787539989891.0,43.8,(英)福莱特著;于大卫译,江苏凤凰文艺出版社,2016.04   ,南京,372页     ,I561.45,3,0,3,3.76,Literature
巨人的陨落II,9787539989891.0,43.0,(英)福莱特著;于大卫译,江苏凤凰文艺出版社,2016.04   ,南京,372页     ,I561.45,2,1,3,29.66,Literature
巨人的陨落III,9787539989891.0,43.0,(英)福莱特著;于大卫译,江苏凤凰文艺出版社,2016.04   ,南京,372页     ,I561.45,1,0,1,19.17,Literature
巨流河,9787108056184.0,79.0,齐邦媛著,生活·读书·新知三联书店,2016,北京,398页,I247.5,2,0,2,1.82,Literature
巴比伦,9787520150446.0,69.0,(英）克里瓦切克著,社会科学文献出版社·甲骨文工作室(分社),2020,北京,385页,K124.3,1,0,1,4.07,Social Sciences
巴黎圣母院,9787020137404.0,45.0,雨果著;陈敬容译,人民文学出版社,2018      ,北京,523页     ,I565.44,2,0,2,,Literature
布匿战争 : 罗马、迦太基与地中海霸权的争夺,9787557026233.0,89.0,"(英)阿德里安·戈兹沃西 (Goldsworthy, Adrian Keith 1969~) 著",广东旅游出版社,2022,广州,507页 : 图，地图,K126,1,0,1,5.01,Social Sciences
布拉格：黑色与金色之城,9787301311929.0,78.0,"(美)德默兹 (Demetz, Peter 1922~) 著", 北京大学出版社, 2020,北京 ,511页 : 图 ,K524.9,1,0,1,,Social Sciences
布雷顿森林货币战,9787111626305.0,79.0,（美）斯泰尔著,,,,,F827.12,1,0,1,67.84,Social Sciences
希望之线,9787544262705.0,59.0,（日）东野圭吾著,南海出版公司,2021,海口,294页,I313.45,2,0,2,21.7,Literature
希波战争,9787557027476.0,84.0,（英）格林著,广东旅游出版社,2022,广州,"26,434页",K125,1,0,1,2.02,Social Sciences
希腊前的哲学,9787100187718.0,75.0,（美）米罗普著,商务印书馆,2020,北京,320页,B302,1,0,1,51.93,General / Misc
帝国的铸就：1861-1871,9787544790208.0,88.0,(美)贝兰著,译林出版社,2022,南京,465页,K14,1,0,1,165.86,Social Sciences
幕末史,9787510892011.0,72.0,（日）半藤一利著,九州出版社,2020,北京,331页,K313.36,1,0,1,59.14,Social Sciences
平凡的世界 .第一部,9787530221396.0,46.0,路遥著,北京十月文艺出版社,2021,北京,428,I247.5,1,0,1,25.61,Literature
平原上的摩西,9787547737941.0,59.0,双雪涛 (1983~) 著,北京日报出版社,2021,北京,282页,I247.7,1,1,2,,Literature
平面国：多维空间传奇往事,9787553520643.0,39.8,"(英)埃德温·艾勃特(Abbott, Edwin A. ,1838-1926) 著", 上海文化出版社, 2020,上海 ,198页 ,I561.45,2,0,2,8.98,Literature
平面犬,9787544281232.0,59.0,（日）乙一著,南海出版公司,2021,海口,265页,I313.45,2,0,2,34.37,Literature
平面设计完全手册,9787530470954.0,89.0,(德)韦格著,北京科学技术出版社,2017.02   ,北京,470页     ,J506,2,2,4,45.11,Arts
幽默,9787511740663.0,48.0,（英）伊格尔顿著,中央编译出版社,2022,北京,170页,C912.3,1,0,1,17.18,General / Misc
广东,9787520420105.0,79.0,澳大利亚Lonely Planet公司著,中国地图出版社,2020,北京,357页,K928.965,1,0,1,,Social Sciences
广告说服力,9787100118798.0,158.0,（美）阿姆斯特朗著,商务印书馆,2016,北京,"18,454页",F713.80,1,0,1,10.99,Social Sciences
广岛之恋,9787532765690.0,30.0,(法)杜拉斯著;谭立德译,上海译文出版社,2014.05   ,上海,218页     ,I565.35,1,0,1,1.2,Literature
应用STATA做统计分析 : 更新至STATA12 : 原书第8版,9787302466659.0,79.8,"(美)劳伦斯·C. 汉密尔顿 (Hamilton, Lawrence C.) 著", 清华大学出版社, 2017,北京 ,"13,425页 ",C819,1,0,1,163.73,General / Misc
庭院深处，是哪辆镀铬把手的小自行车？,9787305249624.0,45.0,（法）佩雷克著,南京大学出版社,2022,南京,"10,118页",I565.45,1,0,1,0.89,Literature
康德,9787100176910.0,45.0,（德）布兰特著,商务印书馆,2019,北京,352页,B516.31,1,0,1,23.94,General / Misc
康德 ,9787108065490.0,32.0,"库尔-旺特 (Kul-Want, Christopher) (英) 文", 生活·读书·新知三联书店, 2019,北京 ,177页 : 图 ,B516.31,1,1,2,55.0,General / Misc
